"Origin","Cocoa.Percent","Ingredients","Characteristics","Rating"
"India","70%",3,"herbs, mushroom, acidic",3.25
"Nicaragua","70%",2,"cocoa, earthy, hammy",3
"Nicaragua","70%",2,"melon, late hammy",3.25
"Nicaragua","70%",2,"smooth, vegetal",3.5
"Nicaragua","70%",2,"roasty, rich cocoa",3.5
"Nicaragua","80%",3,"bold, smooth, rich cocoa, citrus",3.75
"Venezuela","72%",3,"strong nutty, rich cocoa",3.5
"Venezuela","70%",3,"mild fruit, chocolatey",3.5
"Congo","72%",3,"spicy, minty, vegetal",3.75
"Brazil","72%",3,"cocoa, dominate off note",1.75
"Venezuela","75%",3,"oily, nutty, burnt, sour",2.5
"Indonesia","72%",3,"gritty, very smokey, sour",2.75
"Madagascar","80%",3,"sl. bitter, cherry, rich",3
"Peru","75%",3,"spicey, mild metallic",3
"Dominican Republic","72%",3,"spice, cocoa, short",3.25
"Venezuela","100%",NA,"very nutty, very bitter",1.75
"Costa Rica","72%",3,"chewy, grassy, nutty",3.25
"Vietnam","72%",3,"unrefined, distinct spicey",3.25
"Indonesia","72%",3,"black pepper and banana",3.5
"Jamaica","72%",3,"grassy, black licorice, mint",3.75
"Panama","72%",3,"blackpepper,chemical,rubber",2.75
"Haiti","72%",3,"nuts, butterscotch, brownie",4
"Colombia","72%",3,"marshmallow, roasty, nutty",3.75
"Trinidad","72%",3,"gritty, nutty",3.25
"Colombia","72%",4,"creamy, marshmallow, off",2.75
"India","72%",4,"cinamon, nutmeg, fatty",3.25
"Madagascar","72%",4,"strawberry, sour",3.25
"Tanzania","72%",4,"caramel, sour milk",3.5
"Mexico","75%",2,"leather, black licorice, off",2.5
"Ecuador","70%",2,"smooth, astringent, cocoa",3
"Philippines","77%",2,"strawberries, mild tart, roasty",3.75
"Tanzania","72%",2,"creamy, woody, cocoa",3.75
"Honduras","70%",2,"grapes, woody, roasty",3.75
"Tanzania","68%",3,"creamy, rich, blueberry",3.75
"Solomon Islands","70%",4,"off aroma,vegetal,honey,sandy",3
"France","70%",2,"woody, nut skins, medicinal",2.75
"Philippines","77%",4,"sandy, vanilla",2.75
"Philippines","70%",3,"waxy, dried fruit",3
"Philippines","70%",3,"sandy, roasty, nutty",3
"Philippines","70%",3,"long, bright fruit, sweet, sour",3.5
"Colombia","70%",2,"chemical, spice, earthy",2.5
"Dominican Republic","70%",2,"intense, sour tart plum, rubber",3
"Brazil","70%",2,"chalky, intense, chemical",2.5
"Blend","70%",2,"chalky, fragrant, then off",2.5
"Madagascar","70%",2,"unrefined, flat, grassy",3
"Blend","80%",2,"coarse, smokey, metallic",3.25
"Papua New Guinea","70%",2,"smoke, ham, papaya",3.5
"Brazil","70%",2,"bland, sugary, large grits",3
"Peru","70%",3,"molasses, caramel, pungent",2.75
"Peru","70%",3,"black pepper, cardamom",3.5
"Belize","72%",3,"gritty, fatty, sour, off",2.5
"Uganda","82%",3,"bitter, fatty, mild fruit",2.75
"Tanzania","72%",3,"base cocoa, mild fruit, roasty",3.25
"Dominican Republic","70%",2,"complex,black pepper,coffee",3.25
"Mexico","70%",2,"molasses,toffee,coffee grounds",3.5
"Madagascar","70%",2,"raspberry, mild sour",3.75
"Peru","70%",2,"creamy, rounded, orange",4
"Brazil","70%",2,"intense, smokey, dried fruit",3.5
"Costa Rica","72%",2,"slightly dry, cocoa, berry",3.5
"Trinidad","80%",2,"intense, tangy, alcohol",3.5
"Costa Rica","80%",4,"gritty, floral, vanilla",2.75
"Guatemala","65%",3,"sweet, honey, earthy, cocoa",3.25
"Madagascar","70%",3,"mild fruit, strong cocoa",3.5
"Ecuador","65%",3,"sandy, floral, sweet",3.25
"Dominican Republic","65%",3,"creamy, sweet, fudgey",3.5
"Brazil","70%",3,"strawberry, candy flavor",3.75
"Peru","70%",4,"strong vanilla, off notes",2.25
"Malaysia","73%",3,"caramel, spice, earthy",3
"Malaysia","72%",3,"smokey, woody, tobacco",3.25
"Brazil","80%",3,"intense, bitter, dry",2.75
"Dominican Republic","70%",3,"sandy, sweet, molasses",2.75
"Ecuador","70%",3,"intense, floral, black pepper",2.75
"Ecuador","90%",3,"intense floral, bitter, earthy",2.75
"Costa Rica","64%",4,"pastey, nutty",2.75
"Papua New Guinea","64%",4,"intense, smokey",2.75
"Peru","64%",4,"sticky, moss, nuts",2.75
"Ecuador","71%",4,"dry, cinamon, nutmeg",3.5
"Bolivia","70%",3,"oily, complex, pungent",3.25
"Tanzania","70%",3,"sticky, delicate, melon",3.5
"Dominican Republic","70%",2,"caramel, mild dried fruit",3.5
"Vietnam","75%",3,"high acidity, nutty, roasty",3.25
"Vietnam","70%",3,"dominate cocoa notes",3.75
"Vietnam","70%",3,"burnt, black pepper, grapefruit",2.5
"Vietnam","75%",3,"sour, dairy, dirty",2.5
"Belize","83%",3,"unbalanced, tangy, pungent",2.75
"Belize","78%",3,"sweet, nibby, green",3
"Belize","83%",3,"balanced, complex, berry",3.5
"Vietnam","72%",4,"gummy, roasty, fatty",3
"India","72%",4,"gummy, fatty, sour",3
"Malaysia","72%",4,"off aroma, smokey, off note",3
"Madagascar","72%",3,"intense,red berry,strawberry",3.75
"Indonesia","72%",3,"smokey, raspberries, cocoa",4
"Cuba","74%",3,"tobacco, dairy, sour",3.5
"Venezuela","74%",3,"nutty, roasty, dairy",3.5
"Venezuela","74%",3,"mocha, intense, sweet",3.5
"Ecuador","73%",3,"cinamon and nutmeg",4
"Venezuela","74%",4,"delicate, nutty, caramel, sl. Off",3
"Ecuador","73%",4,"floral, melon, spicy",3.5
"Blend","55%",5,"sweet, vanilla, cocoa",2.75
"Venezuela","70%",3,"creamy, macadamia, pepper",3.25
"Venezuela","74%",3,"nutty, light toffee, mild musty",3.25
"Indonesia","64%",3,"ham-like, smokey, banana",3.5
"Venezuela","72%",3,"dark cocoa, spicy pepper",3.5
"Madagascar","64%",3,"chunky, nutty, banana",3
"Venezuela","88%",3,"bitter then nutty rustic, earthy",3
"Venezuela","72%",3,"creamy, banana, rich",3.5
"Ecuador","72%",3,"creamy, nutty, cocoa",4
"Nicaragua","76%",2,"bitter, molasses, flour",2.5
"Costa Rica","76%",2,"molasses, metallic, earthy",2.5
"Costa Rica","78%",4,"sour, tart, molasses",2.5
"Belize","86%",4,"mild bitter, diluted, vanilla",3.25
"Venezuela","70%",4,"gritty, spicy, earthy",3
"Venezuela","70%",4,"fatty, bland, nutty",3
"Venezuela","70%",4,"smooth texture, earthy, nutty",3.5
"Madagascar","71%",2,"rich cocoa, red berry, sour",3
"Ghana","70%",2,"nutmeg, sour",3
"Panama","75%",2,"intense, rum, tea",3.5
"Dominican Republic","68%",2,"nutty, astringent",3.75
"Dominican Republic","75%",2,"chalky, strong, harsh smoke",3
"Madagascar","75%",2,"rustic, red berry, woody",3.25
"Dominican Republic","65%",2,"intense marshmallow, cocoa",3.5
"Madagascar","65%",2,"chocolate covered cherries",3.5
"Indonesia","65%",2,"pastey, off spicey, nutty",2.75
"Madagascar","70%",2,"red berry, strong wine, sour",3
"Venezuela","78%",2,"nutty, mild bitter",3
"Indonesia","75%",2,"dry, cardamom, medicinal",3.25
"Blend","70%",2,"robust, cocoa, fruity",3.75
"Ghana","72%",3,"roasted nuts, rich, roasty",3.5
"Haiti","70%",2,"floral, molasses, chemical",3
"Guatemala","70%",2,"molasses, earthy, spicy",3
"Dominican Republic","70%",2,"sweet, sour milk",3.25
"Belize","70%",2,"off, rubbery, burnt molasses",2.75
"Dominican Republic","70%",3,"unrefined, fruity",2.75
"Venezuela","70%",3,"sweet grass, muted spice",2.75
"Nicaragua","70%",3,"rich, leather, woodsy",3
"Dominican Republic","70%",4,"bright fruit, crisp nibs, cocoa",3.75
"Jamaica","70%",4,"fatty, nutty",2.75
"Colombia","72%",3,"burnt caramel, cocoa, floral",3.25
"Belize","72%",3,"honey with subtle tobacco",3.25
"Blend","72%",4,"oily, flat, woody, sour",2.75
"Congo","82%",4,"complex, fruity, mild bitter",3.5
"Guatemala","70%",3,"chewy, complex,black pepper",3.5
"Madagascar","70%",3,"gritty, tart red berry,powerful",3.75
"Guatemala","75%",2,"roasty, coffee, earthy",2.75
"Dominican Republic","75%",2,"astringent, sour, coffee",3
"Madagascar","82%",2,"sandy, tart, sour, sweet",3.5
"Tanzania","75%",2,"bready, melon",3.5
"Belize","70%",3,"pungent off flavor",2.75
"Malaysia","68%",2,"sweet, dirty, off notes",2.5
"Malaysia","72%",2,"sweet, fruit, chemical off note",2.75
"Malaysia","74%",2,"grassy, savory, sour",3.25
"Blend","100%",NA,"acidic, bitter, dry",1.5
"Sri Lanka","75%",3,"vegetal, dominant tobacco",3
"Blend","75%",3,"spice, woodsy, long lasting",3.75
"Venezuela","75%",3,"sandy, creamy, berry",3.75
"Madagascar","75%",3,"mellow, tart, coffee",3.75
"Venezuela","75%",3,"creamy, fatty, floral",4
"Venezuela","75%",3,"creamy, coconut, tang",4
"Ecuador","75%",3,"dry, floral, bitter",2.5
"Venezuela","75%",3,"creamy, strawberry, nutty",4
"Peru","75%",3,"flat, bread, earthy",2.75
"Ivory Coast","75%",3,"oily, intense cocoa, sl. Burnt",3
"Mexico","75%",3,"mild bitter, nut, possible mold",3
"Mexico","75%",3,"fatty, roasty, earthy",3
"Jamaica","75%",3,"oily, creamy, woody",3.25
"Cuba","75%",3,"fatty, raisin, grape",3.5
"Peru","75%",3,"roasty, woody, mint",3.5
"Peru","75%",3,"creamy, cocoa, smokey",3.5
"Brazil","75%",3,"oily,fatty, rich, nutty",3.5
"Brazil","75%",3,"chunky, very grassy, mild mint",3.75
"Haiti","75%",3,"grassy, black pepper",4
"Madagascar","75%",3,"fatty, spicy, gentle roast",4
"Gabon","75%",3,"fatty, roasty, black pepper",3.25
"Brazil","75%",3,"oily, roasted nuts, rich cocoa",3.5
"Dominican Republic","75%",3,"roasty, tobacco, earthy",3.25
"Blend","65%",3,"complex, brownie,mint, spice",3.75
"Brazil","75%",3,"creamy, homey, nutty",4
"Mexico","75%",3,"heavy roast, fatty, gateway",3.5
"Peru","75%",3,"oily, subtle, mild coffee",4
"Blend","75%",3,"creamy, rich, complex",4
"Nicaragua","75%",3,"bold, woody, nut, roasty, creamy",3.75
"Philippines","75%",3,"nutty, roasty, granola",3.5
"Mexico","75%",3,"fatty, flat, charred, orange peel",2.75
"Uganda","75%",3,"orange peel, nutty, fatty, roasty",3.25
"Ecuador","100%",NA,"cardboard, very bitter, floral",1.5
"Ecuador","77%",2,"sticky, lavendar, molasses",3.25
"Belize","70%",NA,"sandy, vanilla, candy-like",2.75
"Dominican Republic","70%",NA,"gritty, sweet, mild coffee",2.75
"Ecuador","75%",3,"balanced, floral, honey",3.5
"Peru","70%",3,"sweet, rich mocha, acidic",3.75
"Bolivia","70%",3,"nuts, fruit",4
"Tanzania","62%",3,"very sweet, melon, caramel",3
"Dominican Republic","72%",5,"oily, vanilla, caramel, dairy",3
"Ecuador","70%",5,"intense, alocohol, floral",3.25
"Ghana","75%",5,"fatty, brownie, nutty",3.5
"Venezuela","85%",5,"intense, cooked banana",3.5
"Belize","70%",3,"intense, cocoa, complex",3.75
"Venezuela","70%",3,"intense, raisins, roasty",4
"Dominican Republic","68%",3,"complex, brownie, lime, rich",3.75
"Venezuela","70%",3,"nutty, slight hammy, rich",3.5
"Nicaragua","70%",3,"simple, rich cocoa",3.75
"Dominican Republic","70%",3,"earthy, cherries",3.25
"Ecuador","75%",3,"sandy, floral, honey",3.75
"Madagascar","80%",3,"bitter, tart, acidic",2.75
"Dominican Republic","60%",3,"roasty, sweet, brownie",3
"Dominican Republic","80%",3,"bitter, dark berry, fatty",3.25
"Belize","80%",3,"mild smoke, raisins, coffee",3.25
"Madagascar","60%",3,"citrus, sweet, cocoa",3.25
"Guatemala","70%",2,"tart, tea, leather, sour",3.5
"Jamaica","70%",4,"chalky, sandy, tart, bland",3
"Trinidad","68%",3,"fatty, sweet, metallic",2.75
"Madagascar","72%",3,"sweet, mild molasses, bland",3
"Dominican Republic","70%",3,"spicy, black pepper, banana",3.5
"Ecuador","72%",3,"floral, banana",3.5
"Ecuador","70%",2,"powdery, floral, molasses",3.25
"Dominican Republic","68%",3,"gritty, sweet, brownie",2.75
"Bolivia","70%",3,"dirt, earthy, floral",2.5
"Guatemala","70%",3,"roasty and under refined",3
"Ecuador","60%",3,"sweet, sour dairy",2.5
"Trinidad","72%",3,"high roast, coffee, spicy",3.25
"Belize","72%",3,"roasty, fruit, mild metallic",3.25
"Blend","72%",3,"coffee, high roast, spicy",3.25
"Ecuador","72%",3,"floral, mild citrus, orange",3.5
"Bolivia","72%",3,"plum, acidic, astringent, bold",3
"Ecuador","70%",2,"smokey, sour",3
"Taiwan","70%",2,"molasses, sour notes",3.25
"Philippines","70%",2,"base cocoa w/ palm notes",3.5
"Guatemala","70%",4,"off pungent, grassy, melon",3
"Guatemala","70%",4,"vegetal, unique",3.5
"Bolivia","70%",4,"subtle but refreshing",3.75
"Puerto Rico","70%",2,"dirt, floral, sweet",2.5
"Venezuela","75%",2,"over roasted, bitter, nutty",2.25
"Dominican Republic","75%",2,"oily, buttery, intense",2.5
"Dominican Republic","75%",2,"creamy, burnt wood",2.75
"Peru","75%",2,"roasty, almost burnt, intense",2.5
"Venezuela","72%",5,"sandy, dairy, cocoa",2
"Mexico","66%",5,"creamy, woody, cocoa",3
"Tanzania","75%",5,"dry, flat flavor, astringent",2
"Dominican Republic","70%",5,"spice, fruit medley, roasty",3
"Haiti","65%",5,"gritty, sweet, citrus",3.5
"Colombia","72%",2,"light color, dirty, musty",2.5
"Colombia","72%",2,"light color, dirty, astringent",3
"Colombia","72%",2,"light color, creamy, hazelnut",3.75
"Venezuela","75%",2,"intense, earthy, fuel",2.5
"Venezuela","74%",2,"nutty, intense, leathery",3.25
"Venezuela","75%",2,"bright fruit, strawberry",3.5
"Venezuela","70%",2,"fruity, nutty, brownie",3.75
"Venezuela","74%",2,"intense, black licorice, nutty",3.25
"Venezuela","75%",2,"spicy, nutty, ends sour",3.25
"Venezuela","77%",2,"assertive, fruity, acidic",3.5
"Venezuela","75%",2,"sandy, chalky, earthy",2.75
"Venezuela","75%",2,"high astringent, sandy, grass",2.5
"Venezuela","70%",2,"raspberry, dirty, sour",3
"Venezuela","70%",2,"poor texture, earthy",3
"Colombia","69%",4,"green, vegetal, soil, fuel",2.75
"Colombia","70%",4,"intense, spice",3.25
"Colombia","64%",4,"intense, marshmallow, fruit",3.5
"Colombia","70%",4,"earthy, woody, smoke",3.5
"Colombia","72%",3,"rich, nutty, acidic",3.75
"Colombia","71%",3,"distinct, short, dried fruit",3.75
"Colombia","74%",3,"mild cocoa, astringent",3.75
"Honduras","70%",4,"deep cocoa, fatty, dairy",3.5
"Dominican Republic","72%",2,"rustic, sweet, one dimensional",3
"Dominican Republic","65%",2,"rustic, gritty, sweet, fruit",3.25
"Dominican Republic","66%",2,"creamy,blueberry,black pepper",3.75
"Dominican Republic","72%",2,"oily, cherry, rich cocoa",3.75
"Mexico","70%",4,"distinct lemon",4
"Mexico","70%",4,"creamy, nutty, banana, rich",4
"Grenada","71%",4,"silky, ""Andes"" mint, off nutty",3.25
"Madagascar","71%",4,"creamy, earthy, dark roast",3.5
"Venezuela","71%",4,"gritty, fudge-like, nutty",3.5
"Venezuela","77%",4,"intense, roasty, rich cocoa",3.5
"Ecuador","71%",4,"creamy, mild spice, hazelnut",3.75
"Papua New Guinea","71%",4,"creamy, mild spice, cocoa",4
"Congo","70%",4,"rich, cherries, acidic",3.5
"Dominican Republic","72%",4,"cocoa butter dominates, cocoa",2.75
"Peru","72%",4,"intense,sweet,vanilla dominate",2.75
"Ecuador","72%",4,"cocoa base, sweet, earthy",3
"Madagascar","70%",2,"sour milk, off, late tart",3
"Peru","70%",2,"dried fruit, sour, nutella",3.25
"Vietnam","70%",2,"balanced, dairy, spicy",3.5
"Ghana","70%",NA,"high astringent, earthy",3
"Dominican Republic","70%",NA,"creamy, complex, astingent",3.25
"Ecuador","70%",NA,"floral, rum",3.5
"Peru","70%",2,"herbal, cocoa tea",3.5
"Peru","70%",2,"complex, floral, spicy, fruit",3.5
"Peru","80%",2,"smooth, slow, mild grape",3.5
"Peru","70%",2,"chocolate and grapes",4
"Ecuador","91%",4,"klingy, hint of fruit, very bitter",1.5
"Ecuador","82%",4,"cloying, fatty, bitter",2.5
"Ecuador","63%",4,"sandy, sweet, bold citrus",3.5
"Ecuador","71%",4,"dry, spicy, fruity",3.5
"Ecuador","70%",NA,"bitter, cocoa",1
"Grenada","60%",NA,"sweet, metallic, vanilla",2.75
"Sao Tome","78%",2,"burnt up front",2.25
"Trinidad","70%",2,"burnt coffee, fatty",2.5
"Venezuela","80%",2,"nutty, ashey, coffee",3
"Ecuador","100%",1,"fatty, controlled bitter, fruit",3.5
"Cuba","75%",2,"intense, ashey, earthen",2.5
"Dominican Republic","72%",2,"intense, fatty, brownie",3
"Blend","70%",2,"oily surface, berry, cream",3.5
"Venezuela","75%",3,"nutty, burnt, fuel",2.5
"Tanzania","73%",3,"sweet, acidic, fatty",2.75
"Venezuela","70%",3,"strong nutty with off notes",3
"Bolivia","75%",3,"sandy, bold, cherry",3
"Brazil","70%",3,"dairy, chocolate, mild fruit",3.25
"Colombia","70%",4,"spice, oats, nutty, fatty",3.25
"Colombia","70%",4,"spice, honey, fatty",3.25
"Colombia","70%",4,"single note of cocoa, fatty",3.5
"Colombia","70%",4,"cocoa base, fruit, creamy",3.75
"Ecuador","77%",4,"grainy, intense, bitter",2
"Ecuador","77%",4,"perfume, chemical off note",2.5
"Ecuador","77%",4,"crumbly, cinamon",2.75
"Ecuador","55%",4,"sweet, floral, yogurt",3
"Ecuador","55%",4,"sticky, sweet, grassy",3.25
"Ecuador","55%",4,"sandy, sweet, spicy",3.5
"Papua New Guinea","70%",3,"mild smoke, melon",3.5
"Papua New Guinea","70%",3,"tart, malt, mild smoke",3.75
"Nicaragua","70%",3,"burnt blueberry, off",3
"Tanzania","70%",3,"unusually tart, nutty",3.25
"Peru","70%",3,"intense, cooked black licorice",3.25
"Mexico","70%",3,"strong tobacco, grassy",3.25
"Costa Rica","80%",2,"fatty, fruit, muted",2.75
"Costa Rica","72%",2,"fatty, woody, coffee",3
"Costa Rica","72%",2,"floral, earthy, acidic",3.25
"Guatemala","72%",3,"woody, spicy, tobacco",3.5
"Costa Rica","72%",2,"acidic, astringent, spicy",3.5
"Colombia","65%",3,"sweet, marshmallow",3
"Colombia","65%",3,"nutty, grain, late choco",3.25
"Colombia","65%",3,"mild smoke, sweet edge",3.25
"Colombia","65%",3,"overly sweet, mild spice",3.5
"Colombia","65%",3,"sweet, grassy, nutty",3.5
"Blend","75%",2,"off notes, vanilla",2
"Brazil","71%",2,"sandy, intense, sweet, rich",3
"Brazil","65%",2,"molasses, rich, vegetal",3.25
"Peru","70%",3,"sandy, fruity, acidic, metallic",2.5
